CODIGO	EXTENSAO	CATEGORIA	NOME_CURTO	NOME_OFICIAL	VIGENTE_DESDE
0733		IRPJ	Devolução de Recursos Aplicados como Redução por Reinvestimento	IRPJ - Devolução de Recursos Aplicados como Redução por Reinvestimento	12/09/2006
1113		IRPJ	Simples Nacional - Lançamento de Ofício	IRPJ - Simples Nacional - Lançamento de Ofício	11/08/2009
1599		IRPJ	PJ Obrigadas ao Lucro Real - Entidades Financeiras - Balanço Trimestral	IRPJ - PJ Obrigadas ao Lucro Real - Entidades Financeiras - Balanço Trimestral	—
2089		IRPJ	Lucro Presumido	IRPJ - Lucro Presumido	—
2319		IRPJ	PJ Obrigadas ao Lucro Real - Entidades Financeiras - Estimativa Mensal	IRPJ - PJ Obrigadas ao Lucro Real - Entidades Financeiras - Estimativa Mensal	—
2362		IRPJ	PJ Obrigadas ao Lucro Real - Entidades Não Financeiras - Estimativa Mensal	IRPJ- PJ Obrigadas ao Lucro Real - Entidades Não Financeiras - Estimativa Mensal	—
2390		IRPJ	PJ Obrigadas ao Lucro Real - Entidades Financeiras - Declaração de Ajuste	IRPJ - PJ Obrigadas ao Lucro Real - Entidades Financeiras - Declaração de Ajuste	—
2430		IRPJ	PJ Obrigadas ao Lucro Real-Entidades Não Financeiras-Declaração de Ajuste	IRPJ - PJ Obrigadas ao Lucro Real-Entidades Não Financeiras-Declaração de Ajuste	—
2456		IRPJ	PJ Não Obrigadas ao Lucro Real - Declaração de Ajuste	IRPJ - PJ Não Obrigadas ao Lucro Real - Declaração de Ajuste	—
2917		IRPJ	Lançamento de Ofício	IRPJ - Lançamento de Ofício	—
3219		IRPJ	Ganho de Capital - Alienação de Ativos - Simples Nacional - Lançamento de Ofício	IRPJ - Ganho de Capital - Alienação de Ativos - Simples Nacional - Lançamento de Ofício	14/08/2012
3225		IRPJ	Ganhos Líquidos em Operações na Bolsa - Simples Nacional	IRPJ - Ganhos Líquidos em Operações na Bolsa - Simples Nacional	14/08/2012
3317		IRPJ	Ganhos Líquidos em Operações na Bolsa - Lucro Real	IRPJ - Ganhos Líquidos em Operações na Bolsa - Lucro Real	—
3320		IRPJ	Lucro Inflacionário	IRPJ - Lucro Inflacionário	—
3373		IRPJ	PJ Não Obrigadas ao Lucro Real - Balanço Trimestral	IRPJ - PJ Não Obrigadas ao Lucro Real - Balanço Trimestral	—
3375		IRPJ	Retenção na Fonte sobre Pagamentos de Empresa Pública, Sociedade de Economia Mis	IRPJ - Retenção na Fonte sobre Pagamentos de Empresa Pública, Sociedade de Economia Mista e outras Entidades a Pessoa Jurídica de Direito Privado - Lançamento de Ofício	04/02/2005
3548		IRPJ	Cobrança	IRPJ - Cobrança	—
4112		IRPJ	Regime Especial de Tributação do Patrimônio de Afetação	IRPJ - Regime Especial de Tributação do Patrimônio de Afetação	06/12/2004
5625		IRPJ	Lucro Arbitrado	IRPJ - Lucro Arbitrado	01/01/1995
5788		IRPJ	Suplementar	IRPJ - Suplementar	01/01/1996
5993		IRPJ	Optantes pela Apuraçao com Base no Lucro Real - Estimativa Mensal	IRPJ - Optantes pela Apuraçao com Base no Lucro Real - Estimativa Mensal	01/01/1997
6256		IRPJ	Retenção na Fonte sobre Pagamento à Pessoa Jurídica (art. 34 da Lei nº 10.833/20	IRPJ - Retenção na Fonte sobre Pagamento à Pessoa Jurídica (art. 34 da Lei nº 10.833/2003)	01/01/1997
6297		IRPJ	Ganhos de Capital na Alien. de Ativos Micro Empresa/EPP Optante pelo Simples	IRPJ-Ganhos de Capital na Alien. de Ativos Micro Empresa/EPP Optante pelo Simples	01/01/1997
6462		IRPJ	Atualização do Valor de Bens Imóveis	IRPJ - Atualização do Valor de Bens Imóveis	25/09/2024
7104		IRPJ	Simples	IRPJ - Simples	01/01/1997
7429		IRPJ	Depósito Judicial	IRPJ - Depósito Judicial	26/11/1998
7581		IRPJ	Depósito Administrativo	IRPJ - Depósito Administrativo	26/11/1998
7756		IRPJ	Trans Navios	IRPJ - Trans Navios	26/11/1998
8972		IRPJ	Previdência Complementar/Sociedade Seguradora/FAPI Optante pelo Ret (art. 2º MP 	IRPJ - Previdência Complementar/Sociedade Seguradora/FAPI Optante pelo Ret (art. 2º MP nº 2.222/01)	01/09/2001
9086		IRPJ	Ganhos Líquidos Operações Bolsa Investimentos de País C/ Tributação Favorecida	IRPJ - Ganhos Líquidos Operações Bolsa Investimentos de País C/ Tributação Favorecida	14/03/2000
0191		CSLL	Tributação Diferida/Opção pelo Simples - Lançamento de Ofício	CSLL - Tributação Diferida/Opção pelo Simples - Lançamento de Ofício	20/08/2007
0542		CSLL	Regime Especial de Tributação - Patrimônio de Afetação - Lançamento de Ofício	CSLL - Regime Especial de Tributação - Patrimônio de Afetação - Lançamento de Ofício	21/12/2007
